task,average score
ko_quiz_1.csv,0.37095709570957097
ko_quiz_2.csv,0.34594594594594597
ko_quiz_3.csv,0.0
ko_quiz_4.csv,0.09871244635193133
ko_quiz_5.csv,0.03023758099352052
ko_quiz_6.csv,0.24528301886792453
ko_quiz_7.csv,0.0463768115942029
ko_quiz_8.csv,0.24489795918367346
nli.csv,0.2022022022022022
number_1.csv,0.001001001001001001
number_2.csv,0.014014014014014014
number_3.csv,0.056015276893698285
reasoning.csv,0.561
spelling_correct.csv,0.054815803541112616
summarization.csv,0.7111479728519916
translation.csv,2.2910944280941137
